x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1943.9,1943-09,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1943,9,12.38,10.6,30,-7.8,30,28.9,30,98.11,67.3,30,4,,0,30,,,,,4.5,226.5
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1943.10,1943-10,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1943,10,6.17,5.72258064516129,31,-10,31,23.9,31,83.12,84.6,31,4,2.51,0,31,,,,,0,380.6
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1943.11,1943-11,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1943,11,-0.6,-0.9833333333333333,30,-18.3,30,12.2,30,76.44,49.4,30,9,19.78,10.2,30,,,,,0,569.5
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1943.12,1943-12,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1943,12,-7.54,-10.529032258064516,31,-38.3,31,3.3,31,57.75,33.1,31,6,42.43,33.1,31,,,,,0,884.4
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.1,1944-01,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,1,-12.1,-8.13225806451613,31,-32.2,31,8.3,31,58.13,12.4,31,4,46.15,11.4,31,,,,,0,810.1
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.2,1944-02,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,2,-9.77,-10.675862068965516,29,-32.8,29,3.9,29,44.87,20.2,28,6,35.06,17.7,28,,,,,0,831.6
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.3,1944-03,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,3,-4.07,-7.032258064516129,31,-31.1,31,8.9,31,47.06,50.9,31,8,26.71,36.7,31,,,,,0,776
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.4,1944-04,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,4,4,0.76,30,-18.9,30,21.1,30,59.92,70.9,30,4,6.57,10.2,30,,,,,0,517.2
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.5,1944-05,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,5,10.96,13.758064516129032,31,-7.8,31,30.6,31,81.2,52.5,31,5,,0,31,,,,,13.3,144.8
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.6,1944-06,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,6,15.84,16.346666666666668,30,-1.7,30,35.6,30,79.03,67.6,30,3,,0,30,,,,,36.9,86.5
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.7,1944-07,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,7,18.35,18.1,31,2.8,31,32.2,31,86.74,124,31,8,,0,31,,,,,43.4,40.3
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.8,1944-08,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,8,16.93,17.88064516129032,31,-1.1,31,34.4,31,86.94,22.1,31,4,,0,31,,,,,57.6,61.3
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.9,1944-09,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,9,12.38,12.17,30,-6.7,30,26.1,30,98.11,112.5,30,8,,0,30,,,,,2.4,177.3
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.10,1944-10,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,10,6.17,6.174193548387096,31,-8.9,31,21.1,31,83.12,37.3,31,4,2.51,0,31,,,,,0,366.6
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.11,1944-11,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,11,-0.6,-0.1,30,-16.7,30,20,30,76.44,78.4,30,9,19.78,44.5,30,,,,,0,543
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1944.12,1944-12,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1944,12,-7.54,-10.432258064516128,31,-36.1,31,5,31,57.75,63.5,31,9,42.43,63.5,31,,,,,0,881.4
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1945.1,1945-01,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1945,1,-12.1,-17.270967741935483,31,-42.8,31,-1.7,31,58.13,19.1,31,3,46.15,19.1,31,,,,,0,1093.4
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1945.2,1945-02,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1945,2,-9.77,-9.596428571428572,28,-31.1,28,4.4,28,44.87,53.1,28,6,35.06,27.9,28,,,,,0,772.7
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1945.3,1945-03,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1945,3,-4.07,0.8709677419354839,31,-21.1,31,25,31,47.06,58,31,7,26.71,8.9,31,,,,,0,531
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1945.4,1945-04,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1945,4,4,5.976666666666667,30,-8.9,30,27.2,30,59.92,59.7,30,5,6.57,1.3,30,,,,,0,360.7
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1945.5,1945-05,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1945,5,10.96,8.651612903225807,31,-3.9,31,24.4,31,81.2,97.4,31,11,,12.7,31,,,,,0,289.8
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1945.6,1945-06,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1945,6,15.84,14.993333333333334,30,-4.4,30,32.2,30,79.03,63,30,7,,0,30,,,,,27.6,117.8
-77.98333333333333,45.5,45.500,-77.983,MADAWASKA,6084770,4198.1945.7,1945-07,2014-07-31 11:51:30,ON,ONTARIO,ONTARIO,1945,7,18.35,17.358064516129033,31,2.8,31,31.7,31,86.74,101.6,31,6,,0,31,,,,,32.6,52.5
