n_estimators, eval_metric, max_depth, learning_rate, subsample, colsample_bytree, L1, L2, mse_size_ha, mse_chance_of_fire
200, rmse, 3, 0.01, 0.6, 0.6, 0, 0, 6990610.389229308, 0.11946487071214153
200, rmse, 3, 0.01, 0.6, 0.6, 0, 0.1, 6990610.3751847055, 0.11944528066399966
200, rmse, 3, 0.01, 0.6, 0.6, 0, 0.5, 6990610.326229819, 0.11936019577886701
200, rmse, 3, 0.01, 0.6, 0.6, 0, 1.0, 6990610.265312926, 0.11927011255634636
200, rmse, 3, 0.01, 0.6, 0.6, 0.1, 0, 6990610.389229308, 0.11941624190797133
200, rmse, 3, 0.01, 0.6, 0.6, 0.1, 0.1, 6990610.3751847055, 0.11938655196874821
200, rmse, 3, 0.01, 0.6, 0.6, 0.1, 0.5, 6990610.325975645, 0.11932618289954146
200, rmse, 3, 0.01, 0.6, 0.6, 0.1, 1.0, 6990610.265312926, 0.11917726043889056
200, rmse, 3, 0.01, 0.6, 0.6, 0.5, 0, 6990610.389197768, 0.11916854022599249
200, rmse, 3, 0.01, 0.6, 0.6, 0.5, 0.1, 6990610.3751847055, 0.1191387795792517
200, rmse, 3, 0.01, 0.6, 0.6, 0.5, 0.5, 6990610.325975645, 0.11906079480754189
200, rmse, 3, 0.01, 0.6, 0.6, 0.5, 1.0, 6990610.265312926, 0.118938912315153
200, rmse, 3, 0.01, 0.6, 0.6, 1.0, 0, 6990610.388859767, 0.1188862497652589
200, rmse, 3, 0.01, 0.6, 0.6, 1.0, 0.1, 6990610.374803804, 0.11886152767048057
200, rmse, 3, 0.01, 0.6, 0.6, 1.0, 0.5, 6990610.325934543, 0.11878499766963263
200, rmse, 3, 0.01, 0.6, 0.6, 1.0, 1.0, 6990610.265281827, 0.11868632483297605
200, rmse, 3, 0.01, 0.6, 0.8, 0, 0, 6992890.781050862, 0.12432721153022186
200, rmse, 3, 0.01, 0.6, 0.8, 0, 0.1, 6992890.765406048, 0.1243052576220193
200, rmse, 3, 0.01, 0.6, 0.8, 0, 0.5, 6992890.707122595, 0.12422998715617115
200, rmse, 3, 0.01, 0.6, 0.8, 0, 1.0, 6992890.632531171, 0.12410640770311622
200, rmse, 3, 0.01, 0.6, 0.8, 0.1, 0, 6992890.780667913, 0.12428452820090442
200, rmse, 3, 0.01, 0.6, 0.8, 0.1, 0.1, 6992890.765406048, 0.12426283990151207
200, rmse, 3, 0.01, 0.6, 0.8, 0.1, 0.5, 6992890.707122595, 0.12416771455279106
200, rmse, 3, 0.01, 0.6, 0.8, 0.1, 1.0, 6992890.632531171, 0.12406159653872458
200, rmse, 3, 0.01, 0.6, 0.8, 0.5, 0, 6992890.780667913, 0.12406164062391144
200, rmse, 3, 0.01, 0.6, 0.8, 0.5, 0.1, 6992890.765878932, 0.1240405834355235
